dataset,aggregation,MRR,h@1,h@10,time
hetionet,best_combination_global_preselected_dep_topk_per_kind_dep_fix_topk8_0412,0.372125,0.310781,0.494789,12015.460040
hetionet,best_combination_static_per_rule_dep_norm_dep_fix_topk8_0412,0.373354,0.312319,0.494965,15549.683158
hetionet,dep_scale_surprisal_init,0.378467,0.316932,0.502166,11050.666322
hetionet,ensemble_best_valid,0.380345,0.317767,0.505404,12535.591837
hetionet,eval-maxplus,0.350685,0.292432,0.466565,771.669738
hetionet,eval-noisyor,0.302653,0.239801,0.432099,775.447520
hetionet,init_dep_with_lift,0.357075,0.294074,0.479204,10170.589970
hetionet,pos_auto_ratio,0.365239,0.302789,0.487279,9661.927838
hetionet,redundancy,0.362197,0.299991,0.483768,7406.391765
hetionet,sign_constraint_dependency,0.362044,0.300184,0.483046,10031.665850
hetionet,structural_dep_scale,0.360300,0.296200,0.490041,11454.002919
hetionet,structural_none,0.362111,0.299507,0.484168,9389.079851
hetionet,structural_none__stage1,0.361201,0.298820,0.483317,9389.079851
hetionet,structural_none_lift_k1,0.362117,0.299511,0.484168,9778.932128
hetionet,structural_none_lift_k4,0.362111,0.299507,0.484168,10761.867224
hetionet,structural_none_mix_k1,0.362111,0.299509,0.484173,8718.670530
hetionet,structural_none_mix_k2,0.362111,0.299507,0.484168,9626.865277
hetionet,structural_none_mix_k4,0.362111,0.299507,0.484170,10104.363601
hetionet,structural_none_ratio_k1,0.362109,0.299507,0.484161,8854.510555
hetionet,structural_none_ratio_k2,0.362111,0.299507,0.484168,9824.526486
hetionet,structural_none_ratio_k4,0.362111,0.299507,0.484168,10172.016419
hetionet,structural_r2d3,0.369847,0.307010,0.494263,14777.198786
hetionet,structural_r2d3__stage1,0.369368,0.306573,0.494036,14777.198786
hetionet,structural_r3d6,0.368801,0.305848,0.493816,14061.818968
hetionet,structural_r3d6__stage1,0.368395,0.305457,0.493583,14061.818968
hetionet,structural_rd,0.364354,0.301744,0.487217,10115.561941
hetionet,structural_rd__stage1,0.370460,0.307602,0.494585,10115.561941
hetionet,structural_rule_mask,0.361919,0.299093,0.484770,8911.444645
hetionet,structural_surprisal_init,0.365147,0.303453,0.487983,9880.731236
hetionet,synergy,0.362595,0.299933,0.484935,8971.886514
