metric,dataset,feature,op,threshold,coverage,n,mean_delta,base_rr,rel_gain,improved,worse,unchanged,improved_sum,worse_sum,improved_mean,worse_mean
official_aligned,WN18RR,num_nodes,<=,48.0,0.2046242774566474,1239,0.005801905634839833,0.28811316198513603,0.020137593141750176,1143,49,47,7.538096575601887,-0.34953549403533357,0.006595010127385728,-0.0071333774292925214
official_aligned,WN18RR,gt_stage2_official,<=,0.2775096082769024,0.6004954582989265,3636,0.0036871477928963896,0.1876540646927525,0.019648643363698974,3326,186,124,16.609991093967302,-3.20352171899603,0.0049939840931952206,-0.017223235048365752
official_aligned,WN18RR,top_margin_stage1,<=,0.09845060438222647,0.6004954582989265,3636,0.003950597971826102,0.2012127377117162,0.019633935787336923,3231,171,234,17.702165124386195,-3.337790898826484,0.005478850239673845,-0.019519245022377098
official_aligned,WN18RR,num_nodes,<=,58.0,0.2540049545829893,1538,0.005907847454499178,0.30112344657114987,0.019619353862248196,1395,70,73,9.607455086600542,-0.5211857015808079,0.006887064578208274,-0.00744551002258297
official_aligned,WN18RR,top_margin_stage2,<=,0.09975531581941643,0.6001651527663089,3634,0.0037762957695202273,0.1999873453468717,0.018882673616024866,3228,172,234,17.071755954688477,-3.34869712825197,0.005288648065269045,-0.01946916935030215
official_aligned,WN18RR,top_margin_stage1,<=,0.0003401355738601919,0.2500412881915772,1514,0.002818379937076565,0.16354041258057875,0.017233538136562473,1340,38,136,5.770200507979663,-1.5031732832457438,0.0043061197820743755,-0.03955719166436168
official_aligned,WN18RR,num_nodes,<=,68.0,0.3037159372419488,1839,0.005370523880076378,0.31352034169636994,0.01712974619451482,1620,103,116,10.632980572207922,-0.7565871567474611,0.0065635682544493345,-0.007345506376188943
official_aligned,WN18RR,max_rules,<=,13.0,0.3230388109000826,1956,0.005619487798597429,0.3526089012585991,0.015936885820350192,1703,90,163,11.633722102692897,-0.642003968636327,0.006831310688604167,-0.007133377429292522
official_aligned,WN18RR,num_nodes,<=,86.0,0.402972749793559,2440,0.005245049608544509,0.3323126306186438,0.015783479546895816,2075,134,231,13.887346240384128,-1.089425195535526,0.006692696983317652,-0.00813003877265318
official_aligned,WN18RR,gt_rules,<=,1.0,0.3568951279933939,2161,0.002718786359930121,0.17656894721747415,0.015397873764187319,1686,91,384,6.524434669874611,-0.6491373460656196,0.0038697714530691644,-0.007133377429292522
official_aligned,WN18RR,max_rules,<=,9.0,0.22180016515276632,1343,0.004925468836098325,0.3294171103005093,0.014952073471851804,1191,66,86,7.0857075572133565,-0.47080291033330646,0.005949376622345387,-0.007133377429292522
official_aligned,WN18RR,top_margin_stage1,<=,0.00012652678929975258,0.2,1211,0.0025734067450001994,0.1733890256784884,0.014841808672320548,1050,34,127,4.591035341723815,-1.4746397735285737,0.004372414611165538,-0.04337175804495805
official_aligned,YAGO3-10,gt_stage2_official,<=,0.0008241499241676035,0.20010025062656642,1996,0.008391295066514556,0.004133592611797732,2.030024691491094,1668,311,17,17.764384352945417,-1.015359400182365,0.010650110523348572,-0.003264821222451334
official_aligned,YAGO3-10,gt_stage1_official,<=,0.0008991510484899968,0.2,1995,0.008338290515555518,0.004287755602242325,1.944674857679604,1667,310,18,17.60217139776122,-0.9672818192279633,0.010559191000456642,-0.00312026393299343
official_aligned,YAGO3-10,gt_stage2_official,<=,0.01009198085528662,0.2500250626566416,2494,0.008378222536810127,0.034228191846197055,0.2447754930922825,2005,454,35,24.006831297082297,-3.1115442902778403,0.011973481943681943,-0.006853621784752953
official_aligned,YAGO3-10,gt_stage1_official,<=,0.012985335442876682,0.2500250626566416,2494,0.008590680699178734,0.03677612547715609,0.2335939577026659,2009,450,35,23.610937062873997,-2.1857793991222367,0.011752581912829267,-0.00485728755360497
official_aligned,YAGO3-10,gt_rules,<=,2.0,0.2056140350877193,2051,0.009668574975054111,0.042970141735562586,0.22500682065594135,1677,320,54,20.790628476921462,-0.9603812030854783,0.01239751250859956,-0.0030011912596421197
official_aligned,YAGO3-10,gt_stage2_official,<=,0.041190236976134255,0.3001503759398496,2994,0.010867898926864955,0.07877203497952384,0.13796646144396268,2417,534,43,40.347268842485285,-7.808779455451607,0.01669311909080897,-0.014623182500845705
official_aligned,YAGO3-10,gt_stage1_official,<=,0.05740227135883239,0.30005012531328323,2993,0.01116902217875288,0.0818897392683631,0.13639098473803382,2425,521,47,38.47893479854368,-5.050051417536316,0.015867601978780902,-0.00969299696264168
official_aligned,YAGO3-10,gt_stage1_official,<=,0.26711846807942324,0.4001002506265664,3991,0.020605484132297097,0.19652502705693284,0.1048491606431772,3326,606,59,96.18907090986413,-13.952583737866417,0.028920346034234556,-0.02302406557403699
official_aligned,YAGO3-10,gt_rules,<=,5.0,0.25774436090225566,2571,0.013230230276103205,0.1270562341969638,0.10412893440233381,2111,391,69,36.87753995198093,-2.862617912119584,0.01746922783135051,-0.007321273432530906
official_aligned,YAGO3-10,gt_stage2_official,<=,0.2231282987021035,0.4,3990,0.017895948461152725,0.19296025906957873,0.09274421866680693,3312,621,57,90.36990659524236,-18.96507223524299,0.027285599817404093,-0.030539568816816406
official_aligned,YAGO3-10,gt_rules,<=,8.0,0.3042606516290727,3035,0.0158947534998078,0.17226994173114438,0.09226655178541932,2501,455,79,55.62098847426857,-7.380411602351903,0.02223949958987148,-0.016220684840333854
official_aligned,YAGO3-10,gt_stage1_official,<=,0.39680845804666787,0.5000501253132832,4988,0.022724328626058887,0.29328238513375965,0.07748275988581728,4250,673,65,144.1623196558873,-30.813368469105566,0.033920545801385246,-0.045785094307734864
official_aligned,YAGO3-10,top_margin_stage2,<=,0.003458748494329922,0.2,1995,0.020241093197460047,0.2860181080404365,0.0707685724380724,1656,314,25,58.17130363655819,-17.7903227076254,0.03512759881434673,-0.056657078686705095
official_aligned,YAGO3-10,top_margin_stage2,<=,0.00747999974590019,0.2500250626566416,2494,0.01879185320747171,0.2685345806240064,0.06997926733981225,2042,409,43,71.15422432536175,-24.28734242592731,0.034845359610852965,-0.05938225532011567
official_aligned,YAGO3-10,num_edges,>=,137.0,0.20050125313283207,2000,0.028251572444960193,0.4339936477176983,0.06509674183834394,1824,176,0,82.26849220488413,-25.76534731496374,0.04510334002460752,-0.14639401883502126
official_aligned,YAGO3-10,gt_rules,<=,12.0,0.40040100250626565,3994,0.017306887196113455,0.2816534499738776,0.06144745323630373,3347,558,89,91.79085784161519,-22.667150380338057,0.02742481560848975,-0.04062213329809688
official_aligned,YAGO3-10,top_margin_stage2,<=,0.01399367729285872,0.30005012531328323,2993,0.015596502806313627,0.26815266585032516,0.05816277364558863,2439,506,48,84.9313388527572,-38.2510059534605,0.034822197151601966,-0.07559487342581127
official_aligned,YAGO3-10,gt_stage1_official,<=,0.47532628382774433,0.6,5985,0.021484960279858398,0.37286653205100884,0.05762104783627836,5153,763,69,180.63247905647196,-52.044991781519464,0.03505384806063885,-0.06821099840303993
official_aligned,YAGO3-10,max_rules,>=,41.0,0.2069172932330827,2064,0.023046962313335594,0.4013686624074882,0.05742093110880999,1867,186,11,74.89207266048697,-27.3231424457623,0.04011359006989126,-0.1468986152997973
official_aligned,YAGO3-10,num_edges,>=,119.0,0.25032581453634084,2497,0.02691654766497087,0.47392183955399086,0.05679533082987293,2284,213,0,100.8646125501882,-33.653993030755956,0.0441613890324817,-0.15799996728054438
official_aligned,YAGO3-10,gt_stage2_official,<=,0.3782474075390068,0.5000501253132832,4988,0.016347272370464884,0.28838915219503014,0.05668476864001336,4203,720,65,123.6873221650724,-42.14712758119355,0.029428342175844016,-0.05853767719610215
official_aligned,YAGO3-10,top_margin_stage2,<=,0.034533961183825,0.4,3990,0.015551974693393348,0.2745319476384698,0.056649052422393084,3260,677,53,117.52024293640486,-55.46786390976539,0.03604915427497082,-0.08193185215622657
official_aligned,YAGO3-10,top_margin_stage1,<=,0.06762803368737547,0.5000501253132832,4988,0.017318009253278612,0.306177833542348,0.05656193021198357,4094,832,62,170.6225729874,-84.24034283204628,0.04167625134035173,-0.10125041205774793
official_aligned,YAGO3-10,top_margin_stage1,<=,0.03366096201569446,0.4001002506265664,3991,0.015635342861724542,0.2847036637796477,0.05491795452911994,3235,703,53,127.08796948351986,-64.6873161223772,0.03928530741376193,-0.09201609690238577
official_aligned,YAGO3-10,gt_dep_score,>=,0.0,0.6493233082706767,6477,0.027708389216577516,0.5133421775193526,0.05397645163402325,5766,598,113,207.6945076830913,-28.227270727318736,0.03602055284132697,-0.04720279385839254
official_aligned,YAGO3-10,max_rules,>=,37.0,0.2563408521303258,2557,0.023507229088886108,0.4359556768969194,0.053921144590220196,2319,227,11,98.49126175708737,-38.383276976805604,0.04247143672146933,-0.16908932588901146
official_aligned,YAGO3-10,top_margin_stage1,<=,0.014595911533784922,0.30005012531328323,2993,0.014692728102920462,0.27293613305030734,0.05383211060666824,2412,533,48,85.11753430834419,-41.14219909630325,0.03528919332850091,-0.07718986697242636
official_aligned,YAGO3-10,num_edges,>=,104.0,0.3005513784461153,2998,0.026942919923486665,0.5015790274300065,0.05371620113691147,2761,237,0,119.74879924052112,-38.97392530990809,0.043371531778529926,-0.16444694223589912
