dataset,selector,coverage,n,mrr_stage1,mrr_stage2,gain_pt
FB15k-237,balanced5_global_rf_lodo,0.3,12246,0.27269391943484284,0.2797339718609842,0.02581668282421501
FB15k-237,balanced5_global_rf_lodo,0.32,13062,0.27881629385307366,0.28566885464337427,0.024577332607080837
FB15k-237,balanced5_global_rf_lodo,0.34,13878,0.28476302236598755,0.2916305819076166,0.02411675323772422
FB15k-237,balanced5_global_rf_lodo,0.36,14695,0.29137685309622335,0.2978192135522009,0.022110062578821532
FB15k-237,balanced5_global_rf_lodo,0.38,15511,0.2984385120329491,0.30463315199753127,0.020756838393224175
FB15k-237,balanced5_global_rf_lodo,0.4,16328,0.3076213759310829,0.31376102260343425,0.01995845267178975
FB15k-237,balanced5_global_rf_lodo,0.42,17144,0.3156415986002107,0.32155210387030475,0.018725368570890577
FB15k-237,balanced5_global_rf_lodo,0.44,17960,0.3209387094419921,0.32658187264675,0.01758330496987881
FB15k-237,balanced5_global_rf_lodo,0.46,18777,0.32908226588612294,0.3344892327647504,0.016430441379355676
FB15k-237,balanced5_global_rf_lodo,0.48,19593,0.33871064032151993,0.34391916769717995,0.015377513297827994
FB15k-237,balanced5_global_rf_lodo,0.5,20410,0.3506603796410476,0.35569781151387286,0.014365557574487875
FB15k-237,balanced5_global_rf_lodo,0.52,21226,0.35923584680462406,0.3641894613641005,0.01378931029166064
FB15k-237,balanced5_global_rf_lodo,0.54,22042,0.3595824280163036,0.36489451717519084,0.014772938678322856
FB15k-237,balanced5_global_rf_lodo,0.56,22859,0.35938314374261576,0.36465517509658757,0.014669667862184266
FB15k-237,balanced5_global_rf_lodo,0.58,23675,0.356353732214788,0.3614667346305587,0.014348109626894257
FB15k-237,balanced5_global_rf_lodo,0.6,24491,0.3520471776675677,0.3569214152141006,0.01384541009198359
FB15k-237,balanced5_global_rf_lodo,0.62,25308,0.34593943841312685,0.3506847192441842,0.013717085432134013
FB15k-237,balanced5_global_rf_lodo,0.64,26124,0.3416301562569493,0.346225180152204,0.013450287719327214
FB15k-237,balanced5_global_rf_lodo,0.66,26941,0.33936891946330155,0.3438441065223843,0.013186791136206688
FB15k-237,balanced5_global_rf_lodo,0.68,27757,0.3377880640501672,0.34213098213942217,0.012856931761241697
FB15k-237,balanced5_global_rf_lodo,0.7,28573,0.34083417523715004,0.3450514622283408,0.012373427600845588
FB15k-237,balanced5_global_rf_lodo,0.72,29390,0.34367816301805554,0.3478025590848803,0.012000751024172862
FB15k-237,balanced5_global_rf_lodo,0.74,30206,0.3454348649696417,0.349465495517911,0.011668279484827071
FB15k-237,balanced5_global_rf_lodo,0.76,31022,0.3448761377315813,0.34880271911107663,0.01138548293112529
FB15k-237,balanced5_global_rf_lodo,0.78,31839,0.3433126370957964,0.34712505593713866,0.011104801948430554
FB15k-237,balanced5_global_rf_lodo,0.8,32655,0.3402287927406626,0.3439472849361866,0.010929387150247383
FB15k-237,balanced5_global_rf_lodo,0.82,33472,0.3371626784985146,0.340786322695501,0.010747465327786587
FB15k-237,balanced5_global_rf_lodo,0.84,34288,0.3352262826186357,0.338761972078301,0.010547172590544163
FB15k-237,balanced5_global_rf_lodo,0.86,35104,0.3400673230259824,0.3435249983288226,0.010167619964403407
FB15k-237,balanced5_global_rf_lodo,0.88,35921,0.3462455810887143,0.3496816408195462,0.009923764860847673
FB15k-237,balanced5_global_rf_lodo,0.9,36737,0.34827778165748546,0.35164162050458125,0.009658493950107871
FB15k-237,balanced5_global_rf_lodo,0.92,37553,0.353338752150987,0.35665098342019663,0.0093740956774373
FB15k-237,balanced5_global_rf_lodo,0.94,38370,0.3534718631716602,0.3569098219005607,0.009726258543048205
FB15k-237,balanced5_global_rf_lodo,0.96,39186,0.3505340111180984,0.35389768085071205,0.009595844129032027
FB15k-237,balanced5_global_rf_lodo,0.98,40003,0.35239158450716096,0.3556875177654329,0.00935304190899311
FB15k-237,balanced5_global_rf_lodo,1.0,40819,0.35281198551723697,0.35605305507138213,0.009186393000208293
KG20C,balanced5_global_rf_lodo,0.02,149,0.09003372129356213,0.10717755207426533,0.19041566353571415
KG20C,balanced5_global_rf_lodo,0.04,298,0.09459262966566012,0.110094133489547,0.1638764444828027
KG20C,balanced5_global_rf_lodo,0.06,447,0.09217571564469729,0.10368539458381809,0.12486671634301483
KG20C,balanced5_global_rf_lodo,0.08,596,0.09535484361514479,0.10645440100575049,0.11640265947479156
KG20C,balanced5_global_rf_lodo,0.1,745,0.10363087144288953,0.11573848837526654,0.11683407428499204
KG20C,balanced5_global_rf_lodo,0.12,894,0.11266424304459044,0.12484394868790569,0.10810622176278906
KG20C,balanced5_global_rf_lodo,0.14,1043,0.11985893782290856,0.13138962646358507,0.09620215938934051
