dataset,aggregation,relation,relation_name,train_triple_count,valid_triple_count,test_triple_count,baseline_stage1_mrr,selected_config_stage1_mrr,final_test_mrr,gain_vs_baseline,rel_gain_pct,selected_stage1_gain_vs_baseline,stage2_gain_vs_selected_stage1,gain_bucket,selected_stage,dependency_stage_attempted,dependency_stage_accepted,valid_stage1_mrr,valid_stage2_mrr,selected_valid_mrr,num_relation_rules,num_relation_dependencies,num_relation_rule_types,num_relation_dependency_types,num_relation_dependency_type_source_pairs,parsed_total_rules,B_rule_count,Uc_rule_count,Ud_rule_count,Z_rule_count,B_ratio,Uc_ratio,Ud_ratio,filtered_synergy_count,filtered_redundancy_count,filtered_dep_total,filtered_dep_per_rule,dep_per_rule,stage1_headroom,relation_time_seconds,rule_weight_B,rule_weight_U,rule_weight_Uc,rule_weight_Ud,dep_weight_BB,dep_weight_BU,dep_weight_UU,dep_weight_B_Uc,dep_weight_B_Ud,dep_weight_Uc_Uc,dep_weight_Uc_Ud,dep_weight_Ud_Ud,stage1_bucket,dep_density_bucket
WN18RR,structural_rd,10,_similar_to,80,3,3,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,False,False,1.000000,,1.000000,8,0,0,0,0,8,2,6,0,0,0.250000,0.750000,0.000000,0,0,0,0.000000,0.000000,0.000000,2.448638,,,,,,,,,,,,,"[0.6,1.0]",Q1
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,0,/location/country/form_of_government,298,28,43,0.492042,0.496951,0.496951,0.004909,0.997698,0.004909,0.000000,neutral,rule_only,True,False,0.431582,0.431582,0.431582,2413,6226,2,0,0,2413,105,2021,287,0,0.043514,0.837547,0.118939,1400,4826,6226,2.580191,2.580191,0.507958,43.183089,0.813836,0.813531,,,1.000000,1.000000,1.000000,,,,,,"[0.4,0.6)",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,1272,63,91,0.076051,0.076051,0.076051,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,True,False,0.112824,0.112824,0.112824,2646,8634,2,0,0,2646,447,1316,883,0,0.168934,0.497354,0.333711,3342,5292,8634,3.263039,3.263039,0.923949,53.317598,1.000000,1.000000,,,1.000000,1.000000,1.000000,,,,,,"[0.0,0.2)",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,2,/media_common/netflix_genre/titles,2671,106,124,0.366901,0.365491,0.365491,-0.001409,-0.384160,-0.001409,0.000000,negative,rule_only,True,False,0.336357,0.336357,0.336357,5987,16603,2,0,0,5987,809,3865,1306,7,0.135126,0.645565,0.218139,11974,4629,16603,2.773175,2.773175,0.633099,66.317487,0.860665,1.213748,,,1.000000,1.000000,1.000000,,,,,,"[0.2,0.4)",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,3,/award/award_winner/awards_won./award/award_honor/award_winner,8423,27,41,0.265339,0.242560,0.378038,0.112698,42.473284,-0.022779,0.135477,positive,dependency,True,True,0.284880,0.366261,0.366261,79116,316464,2,3,316464,79116,2576,60254,16286,0,0.032560,0.761591,0.205850,158232,158232,316464,4.000000,4.000000,0.734661,263.582575,0.753750,0.307754,,,0.943810,0.967559,1.001794,,,,,,"[0.2,0.4)",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,4,/soccer/football_team/current_roster./sports/sports_team_roster/position,2262,5,12,0.375460,0.375460,0.375460,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,True,False,0.450068,0.450068,0.450068,795,2171,2,0,0,795,104,626,61,4,0.130818,0.787421,0.076730,581,1590,2171,2.730818,2.730818,0.624540,44.551528,1.000000,1.000000,,,1.000000,1.000000,1.000000,,,,,,"[0.2,0.4)",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,5,/soccer/football_team/current_roster./soccer/football_roster_position/position,2265,8,10,0.410555,0.410555,0.410555,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,True,False,0.477135,0.477135,0.477135,820,2196,2,0,0,820,102,648,66,4,0.124390,0.790244,0.080488,556,1640,2196,2.678049,2.678049,0.589445,41.504517,0.716814,0.720570,,,1.000000,1.000000,1.000000,,,,,,"[0.4,0.6)",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,6,/film/actor/film./film/performance/film,9494,715,836,0.079503,0.080702,0.080702,0.001199,1.508345,0.001199,0.000000,neutral,rule_only,True,False,0.069621,0.069621,0.069621,29447,16690,2,0,0,29447,1621,9929,17897,0,0.055048,0.337182,0.607770,11084,5606,16690,0.566781,0.566781,0.920497,142.923891,1.504855,2.571581,,,1.000000,1.000000,1.000000,,,,,,"[0.0,0.2)",Q2
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,7,/award/award_category/nominees./award/award_nomination/nominated_for,9465,746,858,0.204203,0.223298,0.232665,0.028462,13.937910,0.019095,0.009367,positive,dependency,True,True,0.215845,0.223780,0.223780,90670,212019,2,3,212019,90670,1025,80807,8810,28,0.011305,0.891221,0.097166,131861,80158,212019,2.338359,2.338359,0.795797,427.284071,0.787766,0.782186,,,1.283486,1.271002,1.343239,,,,,,"[0.2,0.4)",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,15989,188,214,0.270753,0.323457,0.333598,0.062845,23.211165,0.052704,0.010141,positive,dependency,True,True,0.275459,0.297795,0.297795,126142,379530,2,3,379530,126142,3694,90398,32050,0,0.029284,0.716637,0.254079,127246,252284,379530,3.008752,3.008752,0.729247,438.313186,0.725269,0.346398,,,0.904957,0.907493,0.927665,,,,,,"[0.2,0.4)",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,9,/music/performance_role/regular_performances./music/group_membership/role,2655,16,40,0.099127,0.103165,0.114310,0.015183,15.316588,0.004038,0.011145,positive,dependency,True,True,0.131260,0.131486,0.131486,91633,194070,2,3,194070,91633,1069,87714,2850,0,0.011666,0.957232,0.031102,10804,183266,194070,2.117905,2.117905,0.900873,68.621205,0.566335,0.474872,,,1.004013,1.004014,1.003991,,,,,,"[0.0,0.2)",Q3
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,10,/award/award_category/winners./award/award_honor/ceremony,2834,283,323,0.826187,0.831571,0.831571,0.005384,0.651632,0.005384,0.000000,neutral,rule_only,True,False,0.847876,0.847876,0.847876,28288,78126,2,0,0,28288,149,26910,1229,0,0.005267,0.951287,0.043446,21550,56576,78126,2.761807,2.761807,0.173813,55.874798,0.612286,0.365751,,,1.000000,1.000000,1.000000,,,,,,"[0.6,1.0]",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,11,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,1429,162,158,0.505956,0.511590,0.511590,0.005634,1.113499,0.005634,0.000000,neutral,rule_only,True,False,0.511868,0.511868,0.511868,2546,8167,2,0,0,2546,299,2099,147,1,0.117439,0.824430,0.057738,5092,3075,8167,3.207777,3.207777,0.494044,44.812031,0.585812,0.572044,,,1.000000,1.000000,1.000000,,,,,,"[0.4,0.6)",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,12,/award/award_winning_work/awards_won./award/award_honor/award_winner,2992,24,24,0.229233,0.242142,0.259530,0.030297,13.216660,0.012909,0.017388,positive,dependency,True,True,0.199521,0.199554,0.199554,6938,19198,2,3,19198,6938,1560,3084,2294,0,0.224849,0.444509,0.330643,8882,10316,19198,2.767080,2.767080,0.770767,79.321477,1.312362,1.270837,,,0.991013,0.993301,0.991159,,,,,,"[0.2,0.4)",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,13,/film/film/release_date_s./film/film_regional_release_date/film_release_region,12893,1228,1447,0.334509,0.374959,0.374959,0.040450,12.092281,0.040450,0.000000,positive,rule_only,True,False,0.368396,0.368396,0.368396,299952,636550,2,0,0,299952,2148,270892,26868,44,0.007161,0.903118,0.089574,36646,599904,636550,2.122173,2.122173,0.665491,249.272633,0.598019,0.114236,,,1.000000,1.000000,1.000000,,,,,,"[0.2,0.4)",Q3
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,14,/film/film/language,2570,241,314,0.523242,0.539306,0.539306,0.016065,3.070194,0.016065,0.000000,positive,rule_only,True,False,0.490492,0.490492,0.490492,5666,13817,2,0,0,5666,839,3846,977,4,0.148076,0.678786,0.172432,7308,6509,13817,2.438581,2.438581,0.476758,123.465540,0.647643,1.350949,,,1.000000,1.000000,1.000000,,,,,,"[0.4,0.6)",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,15,/location/location/contains,5201,303,330,0.436598,0.437429,0.436653,0.000055,0.012625,0.000831,-0.000776,neutral,dependency,True,True,0.446349,0.448717,0.448717,8788,19600,2,3,19600,8788,3284,3608,1891,5,0.373691,0.410560,0.215180,2024,17576,19600,2.230314,2.230314,0.563402,87.909545,1.274445,1.502934,,,0.968921,0.964192,0.965517,,,,,,"[0.4,0.6)",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,16,/organization/organization/headquarters./location/mailing_address/country,182,12,7,0.449891,0.461656,0.471458,0.021567,4.793742,0.011765,0.009802,positive,dependency,True,True,0.532967,0.556731,0.556731,580,2033,2,3,2033,580,412,120,47,1,0.710345,0.206897,0.081034,1160,873,2033,3.505172,3.505172,0.550109,39.367866,0.689140,0.924697,,,1.011995,1.027189,1.013989,,,,,,"[0.4,0.6)",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,17,/people/person/profession,10945,1126,1311,0.404856,0.395688,0.395688,-0.009168,-2.264497,-0.009168,0.000000,negative,rule_only,True,False,0.389218,0.389218,0.389218,23315,28042,2,0,0,23315,936,19105,3255,19,0.040146,0.819430,0.139610,16358,11684,28042,1.202745,1.202745,0.595144,113.175193,0.641439,1.373685,,,1.000000,1.000000,1.000000,,,,,,"[0.4,0.6)",Q3
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,18,/location/statistical_region/religions./location/religion_percentage/religion,596,70,60,0.588592,0.600584,0.600584,0.011993,2.037507,0.011993,0.000000,neutral,rule_only,True,False,0.613695,0.613695,0.613695,4881,19524,2,0,0,4881,163,3977,741,0,0.033395,0.814792,0.151813,9762,9762,19524,4.000000,4.000000,0.411408,46.249176,0.618215,0.608626,,,1.000000,1.000000,1.000000,,,,,,"[0.4,0.6)",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,19,/award/award_nominee/award_nominations./award/award_nomination/award,12157,827,1067,0.199418,0.206540,0.218710,0.019292,9.674362,0.007122,0.012170,positive,dependency,True,True,0.213233,0.223238,0.223238,50398,97814,2,3,97814,50398,1476,36657,12246,19,0.029287,0.727350,0.242986,64595,33219,97814,1.940831,1.940831,0.800582,235.241050,0.854391,1.329601,,,1.069198,1.143399,1.148311,,,,,,"[0.0,0.2)",Q3
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,20,/music/genre/artists,5880,590,664,0.260295,0.264261,0.271774,0.011480,4.410217,0.003966,0.007514,positive,dependency,True,True,0.254080,0.260957,0.260957,17774,42913,2,3,42913,17774,412,12377,4972,13,0.023180,0.696354,0.279734,35548,7365,42913,2.414369,2.414369,0.739705,171.967225,0.810442,1.103777,,,1.064841,1.044916,1.047970,,,,,,"[0.2,0.4)",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,21,/influence/influence_node/influenced_by,1908,178,235,0.144396,0.149967,0.149967,0.005571,3.858348,0.005571,0.000000,positive,dependency,True,True,0.167045,0.167045,0.167045,3523,692,2,3,692,3523,232,1290,2001,0,0.065853,0.366165,0.567982,680,12,692,0.196424,0.196424,0.855604,47.158242,1.513107,2.359588,,,1.000000,1.000000,1.000000,,,,,,"[0.0,0.2)",Q2
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,22,/education/educational_institution/students_graduates./education/education/student,2640,278,311,0.107327,0.104695,0.104964,-0.002364,-2.202384,-0.002633,0.000269,negative,dependency,True,True,0.121424,0.122208,0.122208,2534,63,2,1,63,2534,249,699,1585,1,0.098264,0.275848,0.625493,62,1,63,0.024862,0.024862,0.892673,85.732696,1.346074,2.222818,,,,,0.982807,,,,,,"[0.0,0.2)",Q1
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,23,/organization/organization_member/member_of./organization/organization_membership/organization,797,84,96,0.516314,0.545606,0.542886,0.026573,5.146595,0.029292,-0.002720,positive,dependency,True,True,0.593981,0.602091,0.602091,7372,22104,2,3,22104,7372,356,6294,720,2,0.048291,0.853771,0.097667,7360,14744,22104,2.998372,2.998372,0.483686,55.370632,0.592781,0.600967,,,0.998657,0.998250,1.000389,,,,,,"[0.4,0.6)",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,24,/people/person/place_of_birth,2465,148,170,0.131485,0.137125,0.137125,0.005640,4.289280,0.005640,0.000000,positive,rule_only,True,False,0.124108,0.124108,0.124108,1998,148,2,0,0,1998,460,588,948,2,0.230230,0.294294,0.474474,125,23,148,0.074074,0.074074,0.868515,69.341893,2.143881,2.354113,,,1.000000,1.000000,1.000000,,,,,,"[0.0,0.2)",Q1
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,25,/common/topic/webpage./common/webpage/category,3612,350,402,0.495022,0.495022,0.495022,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,True,False,0.502821,0.502821,0.502821,5364,5413,2,0,0,5364,2031,3060,272,1,0.378635,0.570470,0.050708,0,5413,5413,1.009135,1.009135,0.504978,47.804441,1.000000,1.000000,,,1.000000,,1.000000,,,,,,"[0.4,0.6)",Q3
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,26,/film/film/other_crew./film/film_crew_gig/film_crew_role,5305,534,606,0.388225,0.390897,0.390897,0.002672,0.688177,0.002672,0.000000,neutral,rule_only,True,False,0.413822,0.413822,0.413822,42988,52030,2,0,0,42988,255,41167,1555,11,0.005932,0.957639,0.036173,25877,26153,52030,1.210338,1.210338,0.611775,82.505652,0.638250,0.533957,,,1.000000,1.000000,1.000000,,,,,,"[0.2,0.4)",Q3
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,27,/award/award_ceremony/awards_presented./award/award_honor/award_winner,2727,293,317,0.375390,0.380555,0.385012,0.009622,2.563187,0.005165,0.004457,neutral,dependency,True,True,0.381802,0.389363,0.389363,8911,25817,2,3,25817,8911,449,5491,2971,0,0.050387,0.616205,0.333408,11751,14066,25817,2.897206,2.897206,0.624610,82.894462,0.986874,1.375139,,,1.027901,1.014915,1.024547,,,,,,"[0.2,0.4)",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,28,/film/film/country,2407,135,131,0.420187,0.420146,0.419163,-0.001024,-0.243729,-0.000041,-0.000983,negative,dependency,True,True,0.412370,0.415987,0.415987,8406,10943,2,3,10943,8406,1792,5498,1112,4,0.213181,0.654057,0.132286,6689,4254,10943,1.301808,1.301808,0.579813,55.759063,0.673259,1.035537,,,1.000439,1.027934,1.011769,,,,,,"[0.4,0.6)",Q3
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,29,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,2130,234,258,0.408775,0.424775,0.424775,0.016001,3.914338,0.016001,0.000000,positive,rule_only,True,False,0.499676,0.499676,0.499676,47576,117883,2,0,0,47576,291,43813,3469,3,0.006117,0.920905,0.072915,22731,95152,117883,2.477783,2.477783,0.591225,64.761566,0.567516,0.450653,,,1.000000,1.000000,1.000000,,,,,,"[0.4,0.6)",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,30,/award/award_winning_work/awards_won./award/award_honor/award,3310,108,118,0.177426,0.175646,0.191129,0.013703,7.722978,-0.001780,0.015482,positive,dependency,True,True,0.222707,0.247502,0.247502,19741,40669,2,3,40669,19741,721,14305,4715,0,0.036523,0.724634,0.238843,38818,1851,40669,2.060129,2.060129,0.822574,63.020786,0.957675,1.102484,,,0.994958,0.992761,0.991844,,,,,,"[0.0,0.2)",Q3
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,31,/film/film/genre,7268,659,722,0.303148,0.312918,0.315143,0.011995,3.956935,0.009770,0.002226,positive,dependency,True,True,0.326360,0.327196,0.327196,15814,42106,2,3,42106,15814,589,11614,3591,20,0.037245,0.734413,0.227077,29045,13061,42106,2.662577,2.662577,0.696852,110.848951,0.770349,1.112833,,,0.970696,0.986803,0.984711,,,,,,"[0.2,0.4)",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,32,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,2337,146,160,0.280374,0.285014,0.285014,0.004639,1.654610,0.004639,0.000000,neutral,rule_only,True,False,0.266407,0.266407,0.266407,5821,16178,2,0,0,5821,663,3818,1334,6,0.113898,0.655901,0.229170,11642,4536,16178,2.779248,2.779248,0.719626,76.312385,1.031762,1.482859,,,1.000000,1.000000,1.000000,,,,,,"[0.2,0.4)",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,33,/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,373,39,46,0.531031,0.542119,0.542119,0.011088,2.088049,0.011088,0.000000,neutral,rule_only,True,False,0.541415,0.541415,0.541415,485,1940,2,0,0,485,393,59,32,1,0.810309,0.121649,0.065979,970,970,1940,4.000000,4.000000,0.468969,40.572152,0.762261,0.761379,,,1.000000,,1.000000,,,,,,"[0.4,0.6)",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,34,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,1210,110,151,0.510887,0.510889,0.510237,-0.000650,-0.127156,0.000003,-0.000652,negative,dependency,True,True,0.496138,0.496166,0.496166,2686,5381,2,2,5381,2686,705,1880,100,1,0.262472,0.699926,0.037230,9,5372,5381,2.003351,2.003351,0.489113,43.159374,0.688216,0.695859,,,1.008109,,1.007713,,,,,,"[0.4,0.6)",Q3
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,35,/government/legislative_session/members./government/government_position_held/district_represented,1070,123,117,0.865809,0.873820,0.909415,0.043606,5.036497,0.008011,0.035596,positive,dependency,True,True,0.887942,0.922535,0.922535,11175,43270,2,3,43270,11175,100,9580,1495,0,0.008949,0.857271,0.133781,20920,22350,43270,3.872036,3.872036,0.134191,49.414776,0.545543,0.517007,,,0.997283,0.997578,0.997478,,,,,,"[0.6,1.0]",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,36,/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,622,3,1,0.106061,0.106061,0.106061,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,True,False,0.276315,0.276315,0.276315,13051,29593,2,0,0,13051,257,12146,648,0,0.019692,0.930657,0.049651,3491,26102,29593,2.267489,2.267489,0.893939,42.186454,1.000000,1.000000,,,1.000000,1.000000,1.000000,,,,,,"[0.0,0.2)",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,37,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,760,85,91,0.531664,0.533126,0.528388,-0.003275,-0.616085,0.001463,-0.004738,negative,dependency,True,True,0.591170,0.592688,0.592688,4043,16172,2,3,16172,4043,346,3018,676,3,0.085580,0.746475,0.167203,8086,8086,16172,4.000000,4.000000,0.468336,46.161399,0.695987,0.736510,,,1.002058,1.003478,1.002610,,,,,,"[0.4,0.6)",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,6277,74,132,0.158475,0.158475,0.156816,-0.001659,-1.046568,0.000000,-0.001659,negative,dependency,True,True,0.123936,0.127965,0.127965,17213,24617,2,3,24617,17213,2547,6942,7724,0,0.147970,0.403300,0.448731,8103,16514,24617,1.430140,1.430140,0.841525,78.596525,0.922996,1.016753,,,1.325289,1.248615,1.346548,,,,,,"[0.0,0.2)",Q3
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,39,/people/deceased_person/place_of_death,695,61,78,0.195955,0.190037,0.189675,-0.006280,-3.204906,-0.005919,-0.000362,negative,dependency,True,True,0.173539,0.173651,0.173651,556,22,2,2,22,556,131,182,242,1,0.235612,0.327338,0.435252,20,2,22,0.039568,0.039568,0.804045,48.529006,1.862805,1.841744,,,1.003296,,1.021848,,,,,,"[0.0,0.2)",Q1
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,40,/sports/pro_athlete/teams./sports/sports_team_roster/team,676,18,16,0.165455,0.163363,0.163363,-0.002091,-1.264010,-0.002091,0.000000,negative,rule_only,True,False,0.141477,0.138278,0.141477,1504,181,2,0,0,1504,84,915,505,0,0.055851,0.608378,0.335771,136,45,181,0.120346,0.120346,0.834545,44.855192,1.823578,1.862846,,,1.037455,1.014788,1.032075,,,,,,"[0.0,0.2)",Q1
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,41,/music/artist/track_contributions./music/track_contribution/role,1772,116,152,0.229149,0.231439,0.224081,-0.005069,-2.211976,0.002290,-0.007358,negative,dependency,True,True,0.201736,0.207549,0.207549,24449,51711,2,3,51711,24449,778,21152,2516,3,0.031821,0.865148,0.102908,48898,2813,51711,2.115056,2.115056,0.770851,59.221082,0.781186,0.573630,,,0.994632,0.992823,0.994267,,,,,,"[0.2,0.4)",Q3
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,42,/music/instrument/instrumentalists,1938,136,153,0.249292,0.254869,0.254869,0.005577,2.237257,0.005577,0.000000,neutral,rule_only,True,False,0.242539,0.242539,0.242539,21947,46749,2,0,0,21947,905,18580,2458,4,0.041236,0.846585,0.111997,43894,2855,46749,2.130086,2.130086,0.750708,55.991192,0.772222,0.730272,,,1.000000,1.000000,1.000000,,,,,,"[0.2,0.4)",Q3
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,43,/people/person/gender,3717,377,436,0.561938,0.544951,0.565653,0.003714,0.661015,-0.016987,0.020701,neutral,dependency,True,True,0.530294,0.542376,0.542376,7376,3062,2,2,3062,7376,686,6492,196,2,0.093004,0.880152,0.026573,35,3027,3062,0.415130,0.415130,0.438062,55.826308,0.470547,0.586060,,,1.023807,,1.020709,,,,,,"[0.4,0.6)",Q2
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,44,/business/job_title/people_with_this_title./business/employment_tenure/company,734,48,85,0.263085,0.282065,0.281717,0.018632,7.082161,0.018980,-0.000348,positive,dependency,True,True,0.311728,0.317634,0.317634,1612,4013,2,3,4013,1612,308,837,466,1,0.191067,0.519231,0.289082,3224,789,4013,2.489454,2.489454,0.736915,42.782966,0.757598,1.051830,,,1.001232,1.001595,1.001997,,,,,,"[0.2,0.4)",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,45,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,1511,30,32,0.053121,0.062264,0.062264,0.009144,17.212806,0.009144,0.000000,positive,rule_only,True,False,0.077124,0.077124,0.077124,2911,464,2,0,0,2911,863,432,1616,0,0.296462,0.148403,0.555136,449,15,464,0.159395,0.159395,0.946879,47.513598,1.803784,1.559720,,,1.000000,1.000000,1.000000,,,,,,"[0.0,0.2)",Q2
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,46,/business/business_operation/industry,330,33,41,0.338501,0.335253,0.335253,-0.003249,-0.959686,-0.003249,0.000000,negative,dependency,True,True,0.389431,0.390459,0.390459,256,96,2,3,96,256,47,82,127,0,0.183594,0.320312,0.496094,86,10,96,0.375000,0.375000,0.661499,40.580197,1.000242,1.003725,,,1.002305,1.002178,1.002032,,,,,,"[0.2,0.4)",Q2
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,47,/award/award_category/winners./award/award_honor/award_winner,5673,180,217,0.173772,0.188663,0.184138,0.010366,5.965252,0.014891,-0.004525,positive,dependency,True,True,0.206018,0.210268,0.210268,18856,32943,2,3,32943,18856,1150,10789,6915,2,0.060989,0.572179,0.366727,23559,9384,32943,1.747083,1.747083,0.826228,91.112715,0.906434,1.325399,,,1.017444,1.010697,1.010282,,,,,,"[0.0,0.2)",Q3
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,48,/people/person/nationality,4197,406,494,0.515065,0.509807,0.509856,-0.005209,-1.011319,-0.005259,0.000050,negative,dependency,True,True,0.501357,0.503615,0.503615,9716,4210,2,3,4210,9716,2884,6081,746,5,0.296830,0.625875,0.076781,145,4065,4210,0.433306,0.433306,0.484935,93.111919,0.838570,1.496522,,,1.057964,0.973935,1.096294,,,,,,"[0.4,0.6)",Q2
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,49,/sports/sports_team/roster./baseball/baseball_roster_position/position,183,7,3,0.644444,0.644444,0.644444,0.000000,0.000000,0.000000,0.000000,neutral,dependency,True,True,0.498512,0.567857,0.567857,586,1404,2,3,1404,586,27,450,109,0,0.046075,0.767918,0.186007,438,966,1404,2.395904,2.395904,0.355556,40.074874,0.794499,0.795567,,,1.017708,1.017629,1.017630,,,,,,"[0.6,1.0]",Q4
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,50,/people/cause_of_death/people,737,64,94,0.173829,0.171901,0.171875,-0.001954,-1.124126,-0.001928,-0.000026,negative,dependency,True,True,0.176302,0.176911,0.176911,712,24,2,2,24,712,55,224,432,1,0.077247,0.314607,0.606742,23,1,24,0.033708,0.033708,0.826171,43.381745,1.084636,1.295682,,,1.007707,,1.004534,,,,,,"[0.0,0.2)",Q1
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,51,/tv/tv_program/languages,254,29,24,0.631639,0.571246,0.594989,-0.036651,-5.802489,-0.060393,0.023742,negative,dependency,True,True,0.542192,0.547048,0.547048,510,1814,2,2,1814,510,249,198,62,1,0.488235,0.388235,0.121569,1020,794,1814,3.556863,3.556863,0.368361,41.638439,0.752378,0.963879,,,1.087165,,1.088592,,,,,,"[0.6,1.0]",Q4
