dataset,aggregation,type_grouping,typed_test_mrr,relation,relation_name,num_test_samples,selected_stage,dependency_weight_source,dominant_rule_type,dominant_rule_support,dominant_rule_weight,dominant_rule_abs_delta,dominant_rule_impact,dominant_dep_type,dominant_dep_support,dominant_dep_weight,dominant_dep_abs_delta,dominant_dep_impact,rule_weight_B,rule_support_B,rule_abs_delta_B,rule_impact_B,rule_weight_U,rule_support_U,rule_abs_delta_U,rule_impact_U,rule_weight_Uc,rule_support_Uc,rule_abs_delta_Uc,rule_impact_Uc,rule_weight_Ud,rule_support_Ud,rule_abs_delta_Ud,rule_impact_Ud,dep_weight_BB,dep_support_BB,dep_abs_delta_BB,dep_impact_BB,dep_weight_BU,dep_support_BU,dep_abs_delta_BU,dep_impact_BU,dep_weight_UU,dep_support_UU,dep_abs_delta_UU,dep_impact_UU,dep_weight_B_Uc,dep_support_B_Uc,dep_abs_delta_B_Uc,dep_impact_B_Uc,dep_weight_B_Ud,dep_support_B_Ud,dep_abs_delta_B_Ud,dep_impact_B_Ud,dep_weight_Uc_Uc,dep_support_Uc_Uc,dep_abs_delta_Uc_Uc,dep_impact_Uc_Uc,dep_weight_Uc_Ud,dep_support_Uc_Ud,dep_abs_delta_Uc_Ud,dep_impact_Uc_Ud,dep_weight_Ud_Ud,dep_support_Ud_Ud,dep_abs_delta_Ud_Ud,dep_impact_Ud_Ud,rule_order_ud_lt_b_lt_uc
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,34,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,151,dependency,final,U,1981.000000,0.695859,0.304141,1378.497670,BB,4774.000000,1.008109,0.008109,4812.712366,0.688216,705.000000,0.311784,485.192069,0.695859,1981.000000,0.304141,1378.497670,,,,,,,,,1.008109,4774.000000,0.008109,4812.712366,,,,,1.007713,607.000000,0.007713,611.681609,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,35,/government/legislative_session/members./government/government_position_held/district_represented,117,dependency,final,U,11075.000000,0.517007,0.482993,5725.850310,UU,29509.000000,0.997478,0.002522,29434.587155,0.545543,100.000000,0.454457,54.554330,0.517007,11075.000000,0.482993,5725.850310,,,,,,,,,0.997283,2484.000000,0.002717,2477.250227,0.997578,11277.000000,0.002422,11249.688234,0.997478,29509.000000,0.002522,29434.587155,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,36,/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,1,rule_only,trial,U,12794.000000,1.000000,0.000000,12794.000000,UU,24092.000000,1.000000,0.000000,24092.000000,1.000000,257.000000,0.000000,257.000000,1.000000,12794.000000,0.000000,12794.000000,,,,,,,,,1.000000,2440.000000,0.000000,2440.000000,1.000000,3061.000000,0.000000,3061.000000,1.000000,24092.000000,0.000000,24092.000000,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,37,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,91,dependency,final,U,3697.000000,0.736510,0.263490,2722.877100,UU,8945.000000,1.002610,0.002610,8968.349133,0.695987,346.000000,0.304013,240.811467,0.736510,3697.000000,0.263490,2722.877100,,,,,,,,,1.002058,6992.000000,0.002058,7006.393032,1.003478,235.000000,0.003478,235.817377,1.002610,8945.000000,0.002610,8968.349133,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,132,dependency,final,U,14666.000000,1.016753,0.016753,14911.703898,UU,19015.000000,1.346548,0.346548,25604.615925,0.922996,2547.000000,0.077004,2350.870303,1.016753,14666.000000,0.016753,14911.703898,,,,,,,,,1.325289,5154.000000,0.325289,6830.540537,1.248615,448.000000,0.248615,559.379475,1.346548,19015.000000,0.346548,25604.615925,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,39,/people/deceased_person/place_of_death,78,dependency,final,U,425.000000,1.841744,0.841744,782.741157,UU,21.000000,1.021848,0.021848,21.458802,1.862805,131.000000,0.862805,244.027468,1.841744,425.000000,0.841744,782.741157,,,,,,,,,1.003296,1.000000,0.003296,1.003296,,,,,1.021848,21.000000,0.021848,21.458802,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,40,/sports/pro_athlete/teams./sports/sports_team_roster/team,16,rule_only,trial,U,1420.000000,1.862846,0.862846,2645.241320,UU,80.000000,1.032075,0.032075,82.565976,1.823578,84.000000,0.823578,153.180544,1.862846,1420.000000,0.862846,2645.241320,,,,,,,,,1.037455,51.000000,0.037455,52.910220,1.014788,50.000000,0.014788,50.739420,1.032075,80.000000,0.032075,82.565976,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,41,/music/artist/track_contributions./music/track_contribution/role,152,dependency,final,U,23671.000000,0.573630,0.426370,13578.405198,UU,25248.000000,0.994267,0.005733,25103.263315,0.781186,778.000000,0.218814,607.762552,0.573630,23671.000000,0.426370,13578.405198,,,,,,,,,0.994632,20069.000000,0.005368,19961.261580,0.992823,6394.000000,0.007177,6348.108344,0.994267,25248.000000,0.005733,25103.263315,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,42,/music/instrument/instrumentalists,153,rule_only,trial,U,21042.000000,0.730272,0.269728,15366.375007,UU,23469.000000,1.000000,0.000000,23469.000000,0.772222,905.000000,0.227778,698.861091,0.730272,21042.000000,0.269728,15366.375007,,,,,,,,,1.000000,20755.000000,0.000000,20755.000000,1.000000,2525.000000,0.000000,2525.000000,1.000000,23469.000000,0.000000,23469.000000,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,43,/people/person/gender,436,dependency,final,U,6690.000000,0.586060,0.413940,3920.740062,BB,1645.000000,1.023807,0.023807,1684.163173,0.470547,686.000000,0.529453,322.795448,0.586060,6690.000000,0.413940,3920.740062,,,,,,,,,1.023807,1645.000000,0.023807,1684.163173,,,,,1.020709,1417.000000,0.020709,1446.345220,,,,,,,,,,,,,,,,,,,,,
