feature,sort_direction,macro_gain_pt,macro_delta_mrr,min_dataset_gain_pt,max_dataset_gain_pt,positive_dataset_count,coverage,rank
redundancy_weight_max,desc,0.030821780683916094,0.008875069290923548,0.0027577293234457567,0.08310280134908865,6,0.2,35
redundancy_weight_mean,desc,0.02967803380017227,0.008979160185267163,0.0027577293234457567,0.07304751365614903,6,0.2,36
synergy_weight_top5_mean,desc,0.029422455298348044,0.010493982692021717,0.006028353651476692,0.053104841705771566,6,0.2,37
rule_weight_top3_mean,asc,0.029369954390646307,0.005329203248445172,0.006490514001104231,0.07636293267634042,6,0.2,38
rule_weight_top3_sum,asc,0.029368213972688073,0.005328827826457901,0.006488257612350168,0.07636293267634042,6,0.2,39
synergy_weight_top5_sum,desc,0.029310158598572222,0.010469781072632411,0.005882382829289767,0.05258593105939591,6,0.2,40
synergy_weight_top3_mean,desc,0.029097830498525396,0.010503025613173211,0.006050888829670864,0.053213701639230004,6,0.2,41
synergy_weight_top3_sum,desc,0.028973386824431808,0.010316335932111453,0.006202253376413891,0.053363680476607556,6,0.2,42
stage1_top_margin,asc,0.028151339946277536,0.005929882075469679,0.003246719735118475,0.06041446171467402,6,0.2,43
synergy_weight_max,desc,0.027967942840256017,0.009978274060881595,0.006294203828901335,0.04973061149602964,6,0.2,44
synergy_weight_top1_mean,desc,0.027967942840256017,0.009978274060881595,0.006294203828901335,0.04973061149602964,6,0.2,45
synergy_weight_top1_sum,desc,0.027967942840256017,0.009978274060881595,0.006294203828901335,0.04973061149602964,6,0.2,46
redundancy_weight_top3_sum,desc,0.027928581774631905,0.008662611019688895,0.0027577293234457567,0.0626028566009389,6,0.2,47
redundancy_weight_top3_mean,desc,0.027785324499236357,0.008644757388813993,0.0027577293234457567,0.06147682978575819,6,0.2,48
redundancy_weight_top10_sum,desc,0.02761661884236688,0.008583119532295388,0.0027577293234457567,0.05454231866668291,6,0.2,49
rule_weight_top5_sum,asc,0.027514672404547302,0.005153124629507645,0.0035312912572589283,0.07405974139804239,6,0.2,50
rule_weight_top5_mean,asc,0.027429073064648146,0.0051529284388188825,0.0035162214587340923,0.07405974139804239,6,0.2,51
rule_weight_top5_sum,desc,0.027226494871823825,0.0074827262177248706,0.001155381350533835,0.09059147817738933,6,0.2,52
redundancy_weight_top10_mean,desc,0.026662777995744125,0.008525658487753223,0.0027577293234457567,0.04922355469300421,6,0.2,53
max_stage2_score,asc,0.026544754966642974,0.00487965049486416,-0.03383078964060415,0.09309341650093028,5,0.2,54
max_candidate_dep_score,desc,0.026157572217333575,0.008718501010826316,0.006773953637560393,0.0490846595703649,6,0.2,55
rule_weight_top5_mean,desc,0.026122960508185116,0.00743073892325706,0.001155381350533835,0.08429782316227241,6,0.2,56
redundancy_weight_top5_mean,desc,0.02602347681514261,0.008475001260463832,0.0027577293234457567,0.05048779538711612,6,0.2,57
redundancy_weight_top5_sum,desc,0.025872563941298703,0.00844661568356878,0.0027577293234457567,0.04743972159787724,6,0.2,58
unique_redundancy_edges,desc,0.024408286601044438,0.007445322243195977,0.0027577293234457567,0.0541552968152621,6,0.2,59
rule_weight_top10_sum,asc,0.022675713475025172,0.004942430317895902,0.0035909917949628056,0.05458232833391752,6,0.2,60
rule_weight_top10_mean,asc,0.02263704643963597,0.00491858711180929,0.0035856954717039535,0.05458232833391752,6,0.2,61
synergy_weight_mean,desc,0.021972287571652593,0.008678413801824644,0.0038235807993010074,0.04487971556873083,6,0.2,62
max_stage2_score,desc,0.02049009669341395,0.006911418592191266,5.729753977945506e-07,0.058006884165496375,6,0.2,63
rule_weight_top3_sum,desc,0.020360486679101546,0.0069185004381199745,0.0004680917199937351,0.05206855592439963,6,0.2,64
rule_weight_top3_mean,desc,0.019807130418671992,0.006877613060011815,0.0004680917199937351,0.04892556157815986,6,0.2,65
max_candidate_dep_score,asc,0.01881534025178903,0.007194989842817791,0.0,0.03493564661412907,5,0.2,66
redundancy_weight_top5_sum,asc,0.01792543996593225,0.005000494481069942,0.0,0.043204718536142384,5,0.2,67
redundancy_weight_top10_mean,asc,0.017658187973461192,0.005000744729402008,0.0,0.043204718536142384,5,0.2,68
unique_redundancy_edges,asc,0.017613331992856602,0.004768299002732489,0.0,0.043204718536142384,5,0.2,69
redundancy_weight_top1_sum,asc,0.01745163081787804,0.004964489668304359,0.0,0.043204718536142384,5,0.2,70
redundancy_weight_max,asc,0.01745163081787804,0.004964489668304359,0.0,0.043204718536142384,5,0.2,71
redundancy_weight_top1_mean,asc,0.01745163081787804,0.004964489668304359,0.0,0.043204718536142384,5,0.2,72
max_stage1_score,desc,0.017446426604241894,0.00616648643266889,5.729753977945506e-07,0.0359986150123488,6,0.2,73
redundancy_weight_top3_sum,asc,0.01737780611579391,0.004912510531156132,0.0,0.043204718536142384,5,0.2,74
redundancy_weight_top10_sum,asc,0.017280213624514262,0.004815855759068626,0.0,0.043204718536142384,5,0.2,75
redundancy_weight_top5_mean,asc,0.017148826205419132,0.004822468235921237,0.0,0.043204718536142384,5,0.2,76
redundancy_weight_top3_mean,asc,0.017058742795985737,0.004806721676398752,0.0,0.043204718536142384,5,0.2,77
redundancy_weight_mean,asc,0.017047103091102616,0.004594648185812534,0.0,0.043204718536142384,5,0.2,78
avg_candidate_dep_score,desc,0.016518856894287875,0.0047374778163598585,-0.0008872839466061988,0.05491843252570727,5,0.2,79
avg_stage1_score,asc,0.016063200124644277,0.0047563267948080926,0.002576980185462485,0.032115745877482116,6,0.2,80
