dataset,feature,sort_direction,full_gain_pt,best_coverage_ge_20,best_n,best_threshold,best_mrr_stage1,best_mrr_stage2,best_delta_mrr,best_gain_pt,gain_lift_vs_full
FB15k-237,rule_weight_top1_mean,asc,0.010000388562663609,0.38,15511,0.78845736036427,0.2541951342167527,0.2574724549855159,0.0032773207687631922,0.012892932741854102,0.0028925441791904927
FB15k-237,rule_weight_top1_sum,asc,0.010000388562663609,0.38,15511,0.78845736036427,0.2541951342167527,0.2574724549855159,0.0032773207687631922,0.012892932741854102,0.0028925441791904927
FB15k-237,top1_rule_weight,asc,0.010000388562663609,0.38,15511,0.78845736036427,0.2541951342167527,0.2574724549855159,0.0032773207687631922,0.012892932741854102,0.0028925441791904927
FB15k-237,weak_rule_score,desc,0.010000388562663387,0.38,15511,0.2115426396357299,0.25408415143309915,0.25733457886626937,0.003250427433170222,0.01279272010803112,0.002792331545367732
FB15k-237,stage2_top_margin,asc,0.010000388562594553,0.62,25308,0.0341438707144297,0.2649366240932384,0.2682688408365356,0.0033322167432972005,0.012577410747577566,0.0025770221849830133
FB15k-237,avg_stage2_score,desc,0.010000388562507068,0.2,8164,0.5362484016314037,0.2433044346983899,0.2463578228276186,0.0030533881292287013,0.012549660810802,0.0025492722482949315
FB15k-237,s1_norm_margin,asc,0.010000388562565465,0.66,26941,0.127033949213466,0.2850738308106948,0.2886288273967437,0.0035549965860489086,0.01247044169553968,0.002470053132974215
FB15k-237,num_candidates,desc,0.010000388562587004,0.56,22859,100.0,0.26078445677916195,0.2640110663488436,0.0032266095696816266,0.012372706600431993,0.0023723180378449893
FB15k-237,avg_stage1_score,desc,0.01000038856250729,0.64,26124,0.081393247898348,0.3277330389662859,0.33177694578573286,0.004043906819446941,0.012339027008695824,0.0023386384461885346
FB15k-237,s1_margin,desc,0.01000038856265939,0.76,31022,5.551115123125784e-16,0.3342262328543993,0.3383500372061206,0.004123804351721327,0.01233836230179386,0.002337973739134469
FB15k-237,stage1_top_margin,desc,0.01000038856265939,0.76,31022,5.551115123125784e-16,0.3342262328543993,0.3383500372061206,0.004123804351721327,0.01233836230179386,0.002337973739134469
FB15k-237,s1_norm_margin,desc,0.010000388562693363,0.76,31022,8.220374735512292e-16,0.3342677493016514,0.3383909650935113,0.004123215791859924,0.012335069118914799,0.0023346805562214357
FB15k-237,s1_margin,asc,0.010000388562595663,0.66,26941,0.0433281660460694,0.26492168952601447,0.26816149764547076,0.003239808119456289,0.012229304913662586,0.002228916351066923
FB15k-237,stage1_top_margin,asc,0.010000388562595663,0.66,26941,0.0433281660460694,0.26492168952601447,0.26816149764547076,0.003239808119456289,0.012229304913662586,0.002228916351066923
FB15k-237,avg_stage2_score,asc,0.010000388562696472,0.58,23675,0.2439897464427996,0.3865077227055583,0.39111298638531006,0.004605263679751781,0.01191506251806529,0.0019146739553688175
FB15k-237,num_rule_nodes,desc,0.010000388562631857,0.78,31839,87.0,0.293634053885038,0.29708025790409054,0.0034462040190525456,0.01173639083565492,0.0017360022730230629
FB15k-237,num_rules,desc,0.010000388562631857,0.78,31839,87.0,0.293634053885038,0.29708025790409054,0.0034462040190525456,0.01173639083565492,0.0017360022730230629
