dataset,relation,experiment,group,source_dir,valid_source,test_source,valid_mrr,valid_h@1,valid_h@10,test_mrr,test_h@1,test_h@10,num_test_samples
FB15k-237,56,R,baseline,structural_none,best_valid_stage1,test_after_stage1,0.00014,0.00000,0.00000,0.00014,0.00000,0.00000,48
FB15k-237,57,R,baseline,structural_none,best_valid_stage1,test_after_stage1,0.00000,0.00000,0.00000,0.03544,0.00000,0.00000,2
FB15k-237,58,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.35497,0.18627,0.75490,0.41207,0.20000,0.85455,55
FB15k-237,59,r3d6,stage2,structural_r3d6,best_valid_stage2,test_after_stage2,0.21791,0.17391,0.30435,0.20514,0.13636,0.33766,77
FB15k-237,60,r2d3,stage2,structural_r2d3,best_valid_stage2,test_after_stage2,0.52898,0.52083,0.53125,0.49838,0.49167,0.50833,60
FB15k-237,61,r2d3,stage2,structural_r2d3,best_valid_stage2,test_after_stage2,0.27185,0.15672,0.47761,0.22209,0.11111,0.41111,90
FB15k-237,62,r3d6,stage2,structural_r3d6,best_valid_stage2,test_after_stage2,0.62273,0.46667,0.90000,0.57899,0.42000,0.88000,25
FB15k-237,63,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.46750,0.35088,0.62281,0.47658,0.38571,0.58571,70
FB15k-237,64,rd,stage2,structural_rd,best_valid_stage2,test_after_stage2,0.36916,0.18182,1.00000,0.39386,0.19231,1.00000,13
FB15k-237,65,r2d3,stage2,structural_r2d3,best_valid_stage2,test_after_stage2,0.47917,0.37500,0.75000,0.46603,0.19231,0.92308,13
FB15k-237,66,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.14279,0.08621,0.25862,0.13502,0.06230,0.28525,305
FB15k-237,67,init_dep_with_lift,stage2,init_dep_with_lift,best_valid_stage2,test_after_stage2,0.50284,0.42857,0.64286,0.63934,0.53333,0.83333,15
FB15k-237,68,sign_constraint_dependency,stage2,sign_constraint_dependency,best_valid_stage2,test_after_stage2,0.17862,0.10000,0.32857,0.19135,0.11628,0.33721,86
FB15k-237,69,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.37654,0.22642,0.73585,0.39378,0.22222,0.79365,63
FB15k-237,70,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.43157,0.31579,0.63158,0.38030,0.28000,0.66000,25
FB15k-237,71,sign_constraint_dependency,stage2,sign_constraint_dependency,best_valid_stage2,test_after_stage2,0.29228,0.22781,0.44970,0.32243,0.25100,0.45618,251
FB15k-237,72,R,baseline,structural_none,best_valid_stage1,test_after_stage1,0.44546,0.31667,0.65000,0.35772,0.25806,0.56452,31
FB15k-237,73,R2,baseline,structural_r2d3,best_valid_stage1,test_after_stage1,0.69498,0.51923,0.96154,0.66581,0.57895,0.82895,38
FB15k-237,74,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.18227,0.12162,0.28378,0.15903,0.09615,0.34615,26
FB15k-237,75,init_dep_with_lift,stage2,init_dep_with_lift,best_valid_stage2,test_after_stage2,0.15467,0.06410,0.37179,0.23860,0.14151,0.44340,53
FB15k-237,76,rd,stage2,structural_rd,best_valid_stage2,test_after_stage2,0.19392,0.11905,0.34127,0.16260,0.09023,0.31955,266
FB15k-237,77,R,baseline,structural_none,best_valid_stage1,test_after_stage1,0.01929,0.00000,0.08824,0.01377,0.00000,0.04545,11
FB15k-237,78,sign_constraint_dependency,stage2,sign_constraint_dependency,best_valid_stage2,test_after_stage2,0.51729,0.50000,0.62500,0.11058,0.10000,0.10000,5
FB15k-237,79,rd,stage2,structural_rd,best_valid_stage2,test_after_stage2,0.25146,0.13462,0.48077,0.21782,0.09524,0.48810,42
FB15k-237,80,init_dep_with_lift,stage2,init_dep_with_lift,best_valid_stage2,test_after_stage2,0.71244,0.69149,0.74468,0.73782,0.71698,0.77358,53
