dataset,source_group,config_id,config_label,stage_or_source,label,status,mrr,h1,h10,completed_relations,total_relations,path
FB15k-237,aggregation,cfg_synergy_only,synergy only | auto_sqrt,stage1,aggregation stage1,done,0.344251,0.257842,0.516271,237,237,data/FB15k-237/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_0_0
FB15k-237,aggregation,cfg_synergy_only,synergy only | auto_sqrt,stage2,aggregation stage2,done,0.346808,0.261629,0.517321,237,237,data/FB15k-237/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_0_0
FB15k-237,aggregation,cfg_redundancy_only,redundancy only | auto_sqrt,stage1,aggregation stage1,done,0.344251,0.257842,0.516271,237,237,data/FB15k-237/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_0_1_0
FB15k-237,aggregation,cfg_redundancy_only,redundancy only | auto_sqrt,stage2,aggregation stage2,done,0.345998,0.259797,0.517981,237,237,data/FB15k-237/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_0_1_0
FB15k-237,aggregation,cfg_dep_sign,synergy + redundancy + dependency sign | auto_sqrt,stage1,aggregation stage1,done,0.344251,0.257842,0.516271,237,237,data/FB15k-237/aggregation/exp-1_LinearAggregator_1_1_1_auto_sqrt_1_1_0
FB15k-237,aggregation,cfg_dep_sign,synergy + redundancy + dependency sign | auto_sqrt,stage2,aggregation stage2,done,0.335601,0.252834,0.501246,237,237,data/FB15k-237/aggregation/exp-1_LinearAggregator_1_1_1_auto_sqrt_1_1_0
FB15k-237,aggregation,cfg_lift_init,synergy + redundancy + lift init | auto_sqrt,stage1,aggregation stage1,done,0.344251,0.257842,0.516271,237,237,data/FB15k-237/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_1_1
FB15k-237,aggregation,cfg_lift_init,synergy + redundancy + lift init | auto_sqrt,stage2,aggregation stage2,done,0.330956,0.248070,0.493966,237,237,data/FB15k-237/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_1_1
FB15k-237,aggregation,cfg_auto_ratio,synergy + redundancy | auto_ratio,stage1,aggregation stage1,done,0.346382,0.258013,0.523331,237,237,data/FB15k-237/aggregation/exp-1_LinearAggregator_1_0_1_auto_ratio_1_1_0
FB15k-237,aggregation,cfg_auto_ratio,synergy + redundancy | auto_ratio,stage2,aggregation stage2,done,0.349374,0.262826,0.523869,237,237,data/FB15k-237/aggregation/exp-1_LinearAggregator_1_0_1_auto_ratio_1_1_0
