dataset,relation,selected_rules,possible_combinations,observed_combinations,support_qualified_combinations,significant_combinations,significant_positive,significant_negative,observed_over_possible,qualified_over_observed,significant_over_qualified
FB15k-237,125,86,102340,9247,5133,0,0,0,0.09035567715458276,0.5550989510111387,0.0
FB15k-237,126,310,4917220,893247,284664,0,0,0,0.1816569118322955,0.3186845295870011,0.0
FB15k-237,127,337,6322120,1489641,821101,568,540,28,0.23562365155991977,0.5512073043102331,0.0006917541203822672
FB15k-237,128,500,20708500,8479222,4647714,5356,0,5356,0.40945611705338386,0.548129769452905,0.0011523944889896408
FB15k-237,129,376,8789000,4671579,2901459,2,0,2,0.5315256570713391,0.6210874310377712,6.893083789913971e-07
FB15k-237,130,500,20708500,15036,2914,33,0,33,0.000726078663350798,0.19380154296355415,0.011324639670555936
FB15k-237,131,500,20708500,125432,49619,0,0,0,0.006057029722094792,0.39558485872823523,0.0
FB15k-237,132,240,2275280,160386,148357,0,0,0,0.07049066488520095,0.9249996882520918,0.0
FB15k-237,133,500,20708500,3289742,1172144,580,417,163,0.15885950213680372,0.3563027131002978,0.0004948197491093245
FB15k-237,134,500,20708500,97195,30636,345,0,345,0.004693483352246662,0.31520139924893253,0.01126126126126126
FB15k-237,135,500,20708500,3071929,1358048,62,13,49,0.148341453992322,0.44208313408285155,4.565376186997809e-05
FB15k-237,136,500,20708500,624438,248475,324,323,1,0.03015370500036217,0.39791780769267726,0.0013039541201328101
FB15k-237,137,500,20708500,47395,5064,0,0,0,0.002288673733008185,0.1068467137883743,0.0
FB15k-237,138,197,1254890,220594,133311,0,0,0,0.1757875192247926,0.6043274069104327,0.0
FB15k-237,139,500,20708500,4433071,1886125,0,0,0,0.21407011613588622,0.4254669054477133,0.0
FB15k-237,140,249,2542124,99989,41371,0,0,0,0.039332857091156845,0.4137555131064417,0.0
FB15k-237,141,500,20708500,343044,114883,233,15,218,0.01656537170726996,0.33489290003614697,0.002028150379081326
FB15k-237,142,468,16974516,1005866,167368,175,0,175,0.05925741859149327,0.1663919448515011,0.0010456001147172698
FB15k-237,143,500,20708500,1503356,769311,813,494,319,0.07259608373373252,0.5117290914460714,0.001056789776826277
FB15k-237,144,54,24804,13260,8452,0,0,0,0.5345911949685535,0.6374057315233785,0.0
FB15k-237,145,500,20708500,3336374,1968390,631,548,83,0.1611113310959268,0.5899788213191927,0.00032056655439216823
FB15k-237,146,142,467180,0,0,0,0,0,0.0,0.0,0.0
FB15k-237,147,500,20708500,2237672,1039060,469,317,152,0.10805572590965062,0.46434866235980965,0.0004513695070544531
FB15k-237,148,500,20708500,83988,10367,1,0,1,0.004055725909650626,0.12343430013811497,9.645992090286486e-05
FB15k-237,149,110,215820,18556,7684,0,0,0,0.08597905662125846,0.4140978659193792,0.0
FB15k-237,150,500,20708500,143533,54192,10,8,2,0.006931115242533259,0.3775577741703998,0.00018452908178328905
FB15k-237,151,500,20708500,769619,250987,0,0,0,0.037164401091339304,0.3261185079890179,0.0
FB15k-237,152,500,20708500,3266,317,0,0,0,0.00015771301639423425,0.09706062461726883,0.0
FB15k-237,153,327,5774275,317999,236879,1,1,0,0.055071675664910315,0.744904858191378,4.22156459627067e-06
FB15k-237,154,500,20708500,556186,202538,326,1,325,0.026857860298911074,0.3641551567281449,0.001609574499600075
FB15k-237,155,435,13624345,1027444,469076,157,157,0,0.07541235927305129,0.4565465368428839,0.00033470056025036455
FB15k-237,156,380,9073260,842488,298662,24,0,24,0.09285394665203026,0.3545000047478421,8.035839845711875e-05
FB15k-237,157,500,20708500,33385,7410,0,0,0,0.0016121399425356737,0.2219559682492137,0.0
FB15k-237,158,299,4410549,233129,130931,9,3,6,0.05285713864645875,0.5616246798982537,6.873849584895862e-05
FB15k-237,159,235,2135445,73962,40027,0,0,0,0.034635403861958514,0.5411833103485574,0.0
FB15k-237,160,432,13343760,443398,129509,3,3,0,0.03322886502754846,0.29208295932773715,2.3164413284018872e-05
FB15k-237,161,500,20708500,2067567,515336,51,0,51,0.09984146606465943,0.24924754554507786,9.89645590449726e-05
FB15k-237,162,500,20708500,2680887,1806692,109,3,106,0.12945829007412415,0.6739157599704874,6.033125734768295e-05
FB15k-237,163,500,20708500,348574,193505,0,0,0,0.01683241181157496,0.5551331998370503,0.0
FB15k-237,164,110,215820,9254,5405,0,0,0,0.042878324529700675,0.5840717527555651,0.0
FB15k-237,165,116,253460,55954,28327,0,0,0,0.22076067229543123,0.506255138149194,0.0
FB15k-237,166,500,20708500,5512579,2807420,10756,3,10753,0.26619885554241013,0.5092752412255679,0.0038312756908478246
FB15k-237,167,153,585276,452866,293308,0,0,0,0.773764856238766,0.647670613382325,0.0
FB15k-237,168,500,20708500,335634,102857,4,0,4,0.016207547625371223,0.3064558417800342,3.8888942901309586e-05
FB15k-237,169,500,20708500,13680,2069,2,0,2,0.0006605983050438225,0.15124269005847954,0.0009666505558240696
