dataset,relation,selected_rules,possible_pairs,observed_pairs,support_qualified_pairs,significant_pairs,significant_pairs_positive,significant_pairs_negative,observed_pairs_over_possible,qualified_pairs_over_observed,significant_pairs_over_qualified,possible_combinations,observed_combinations,support_qualified_combinations,significant_combinations,significant_positive,significant_negative,observed_over_possible,qualified_over_observed,significant_over_qualified
FB15k-237,26,500,124750,1980,613,38,0,38,0.015871743486973948,0.3095959595959596,0.06199021207177814,20708500,2264,225,0,0,0,0.00010932708791076128,0.09938162544169611,0.0
FB15k-237,27,500,124750,5994,3277,212,59,153,0.048048096192384766,0.5467133800467133,0.06469331705828502,20708500,27261,9328,16,1,15,0.0013164159644590385,0.34217380140126924,0.0017152658662092624
FB15k-237,28,500,124750,13717,5140,1391,57,1334,0.10995591182364729,0.3747175038273675,0.2706225680933852,20708500,130590,27744,199,3,196,0.006306106188280175,0.21245118309212038,0.007172722029988466
FB15k-237,29,500,124750,1501,245,56,0,56,0.012032064128256513,0.1632245169886742,0.22857142857142856,20708500,1257,107,0,0,0,6.069971267836878e-05,0.08512330946698489,0.0
FB15k-237,30,500,124750,5140,2810,258,45,213,0.04120240480961924,0.546692607003891,0.09181494661921709,20708500,19239,6396,41,0,41,0.0009290388004925513,0.332449711523468,0.00641025641025641
FB15k-237,31,500,124750,5659,2749,464,20,444,0.0453627254509018,0.4857748718854921,0.16878865041833394,20708500,26137,7671,23,0,23,0.0012621387353019293,0.29349198454298503,0.00299830530569678
FB15k-237,32,500,124750,11975,6486,841,74,767,0.09599198396793587,0.5416283924843424,0.12966389145852605,20708500,113636,35086,49,0,49,0.0054874085520438464,0.30875778802492165,0.0013965684318531608
FB15k-237,33,333,55278,44405,33270,29079,28,29051,0.8033033033033034,0.7492399504560298,0.8740306582506763,6099006,3246426,1751453,43011,0,43011,0.5322877203268861,0.5395019014756536,0.024557324689843233
FB15k-237,34,500,124750,37612,15495,13298,13,13285,0.301498997995992,0.4119695841752632,0.8582123265569539,20708500,1142496,311107,4796,0,4796,0.05517038897071251,0.27230467327675545,0.015415917996059233
FB15k-237,35,500,124750,9721,1973,234,0,234,0.07792384769539078,0.20296265816274045,0.11860111505321845,20708500,39647,3651,0,0,0,0.0019145278508824878,0.09208767372058416,0.0
FB15k-237,36,500,124750,3574,965,84,0,84,0.028649298597194388,0.27000559597090096,0.08704663212435233,20708500,11047,1896,1,0,1,0.0005334524470628003,0.17163030687064362,0.0005274261603375527
FB15k-237,37,500,124750,13863,6852,1189,134,1055,0.11112625250501001,0.4942653105388444,0.17352597781669585,20708500,177571,50754,96,59,37,0.008574788130477823,0.2858236986895383,0.0018914765338692518
