coverage,rank,feature,sort_direction,macro_gain_pt,positive_datasets,min_dataset_gain,max_dataset_gain
0.1,96,s1_margin,desc,0.01617367808306474,7,7.600679903463359e-05,0.02739939894899246
0.1,97,stage1_top_margin,desc,0.01617367808306474,7,7.600679903463359e-05,0.02739939894899246
0.1,98,net_dep_mass,desc,0.015890088206443758,6,-0.1304691741861661,0.07488493562124687
0.1,99,max_rules_per_candidate,asc,0.015418905417739794,7,0.003391531156482497,0.04871428615379547
0.1,100,max_candidate_dep_score,asc,0.01538453472656073,5,-0.035849501274089035,0.08256064724497536
0.1,101,s1_norm_margin,desc,0.015222756973709848,7,0.0016642623832554548,0.026898740724952352
0.1,102,rule_mass,desc,0.01467996122954039,7,0.004916328036023154,0.0220161443516802
0.1,103,avg_rules_per_candidate,asc,0.013958059827996314,7,0.004127985767249154,0.04219819613724041
0.1,104,candidate_rule_coverage,asc,0.012112028522769824,4,-0.002433811708860034,0.04034257053736212
0.1,105,num_candidate_rule_edges,asc,0.012072680442111374,7,0.0046222367789900964,0.04094618024116237
0.1,106,rule_mass,asc,0.012055779761143217,6,-0.0008132059680200365,0.02372339622676156
0.1,107,avg_stage1_score,asc,0.011258184812475298,6,-0.0001162286544759139,0.020193144674099717
0.1,108,rule_dominance_ratio,desc,0.011054324280277987,7,0.0006935213332643908,0.033889724231066065
0.1,109,max_stage2_score,asc,0.010494570260791924,6,-0.06195040172715327,0.06268238635618384
0.1,110,net_dep_mass,asc,0.008852569384785689,5,-0.0014705398930582314,0.01764555118524691
0.1,111,red_rule_ratio,asc,0.008798244923920229,4,-0.002479566868653138,0.02812466950457293
0.1,112,redundancy_weight_max,asc,0.008798244923920229,4,-0.002479566868653138,0.02812466950457293
0.1,113,redundancy_weight_top1_mean,asc,0.008798244923920229,4,-0.002479566868653138,0.02812466950457293
0.1,114,redundancy_weight_top10_sum,asc,0.008798244923920229,4,-0.002479566868653138,0.02812466950457293
0.1,115,unique_redundancy_edges,asc,0.008798244923920229,4,-0.002479566868653138,0.02812466950457293
0.1,116,neg_dep_ratio,asc,0.008798244923920229,4,-0.002479566868653138,0.02812466950457293
0.1,117,neg_mass,asc,0.008798244923920229,4,-0.002479566868653138,0.02812466950457293
0.1,118,num_neg_dep,asc,0.008798244923920229,4,-0.002479566868653138,0.02812466950457293
0.1,119,redundancy_weight_top3_sum,asc,0.008798244923920229,4,-0.002479566868653138,0.02812466950457293
0.1,120,redundancy_weight_top5_mean,asc,0.008798244923920229,4,-0.002479566868653138,0.02812466950457293
0.1,121,topk_redundancy,asc,0.008798244923920229,4,-0.002479566868653138,0.02812466950457293
0.1,122,redundancy_weight_top1_sum,asc,0.008798244923920229,4,-0.002479566868653138,0.02812466950457293
0.1,123,redundancy_weight_mean,asc,0.008798244923920229,4,-0.002479566868653138,0.02812466950457293
0.1,124,redundancy_weight_top5_sum,asc,0.008798244923920229,4,-0.002479566868653138,0.02812466950457293
0.1,125,redundancy_weight_top3_mean,asc,0.008798244923920229,4,-0.002479566868653138,0.02812466950457293
0.1,126,redundancy_weight_top10_mean,asc,0.008798244923920229,4,-0.002479566868653138,0.02812466950457293
0.1,127,rule_weight_mean,desc,0.0071730833454346655,5,-0.009126903635005457,0.01508376972472858
0.1,128,num_rule_nodes,asc,0.006706163364966005,6,-0.0025645413386863325,0.018659312495346914
0.1,129,query_num_nodes,asc,0.006706163364966005,6,-0.0025645413386863325,0.018659312495346914
0.1,130,num_rules,asc,0.006706163364966005,6,-0.0025645413386863325,0.018659312495346914
0.1,131,effective_candidates,asc,0.006567281678916277,7,0.00037906674642740334,0.014219185310927474
0.1,132,s1_entropy,asc,0.006567281678916277,7,0.00037906674642740334,0.014219185310927474
0.1,133,num_candidates,asc,0.006517873627021371,6,-0.001204251967332759,0.013407196400413657
0.1,134,s1_norm_margin,asc,0.006040586895045956,5,-0.01688794638424551,0.027345362183348376
0.1,135,s1_margin,asc,0.006025111594756002,5,-0.01688794638424551,0.027237035081318695
0.1,136,stage1_top_margin,asc,0.006025111594756002,5,-0.01688794638424551,0.027237035081318695
0.1,137,avg_stage2_score,asc,0.005133260235240046,6,-0.05419926303638034,0.0361126501057103
0.1,138,avg_positive_dep,asc,0.0038277888942402282,4,-0.00244801240758985,0.018391902514850678
0.1,139,sum_positive_dep,asc,0.0038277888942402282,4,-0.00244801240758985,0.018391902514850678
0.1,140,max_positive_dep,asc,0.0038277888942402282,4,-0.00244801240758985,0.018391902514850678
0.1,141,avg_negative_dep,asc,0.0037047553976468084,4,-0.00247956686865336,0.018391902514850678
0.1,142,max_negative_dep,asc,0.0037047553976468084,4,-0.00247956686865336,0.018391902514850678
